Date,Volatility
2014-01-03,0.04283178352281453
2014-01-04,0.03909078806449975
2014-01-05,0.06130995844649844
2014-01-06,0.0409832485517592
2014-01-07,0.07562172400434325
2014-01-08,0.0498298199933594
2014-01-09,0.041111326746980745
2014-01-10,0.04230558210617603
2014-01-11,0.048280204458682134
2014-01-12,0.0536969021579319
2014-01-13,0.04618098550881802
2014-01-14,0.037253573351196625
2014-01-15,0.042257772986388144
2014-01-16,0.0428929534059516
2014-01-17,0.0424289522791975
2014-01-18,0.03914105293761853
2014-01-19,0.043599187864587226
2014-01-20,0.03513452421084695
2014-01-21,0.029933912693883777
2014-01-22,0.026556485322684373
2014-01-23,0.025639778789983466
2014-01-24,0.036425787826290204
2014-01-25,0.03679522571745033
2014-01-26,0.03068827079440003
2014-01-27,0.05678475485312327
2014-01-28,0.056216070419386144
2014-01-29,0.03721939803202976
2014-01-30,0.0315912471970607
2014-01-31,0.026987097389359043
2014-02-01,0.026916303991965283
2014-02-02,0.022482140358760037
2014-02-03,0.022321469869224123
2014-02-04,0.02137967176772321
2014-02-05,0.025590636947612603
2014-02-06,0.03009847062558826
2014-02-07,0.04707489100135239
2014-02-08,0.04673979661087955
2014-02-09,0.03507550041844489
2014-02-10,0.027804489123435236
2014-02-11,0.030582224693921946
2014-02-12,0.03408085306162952
2014-02-13,0.04872281348986124
2014-02-14,0.06084896169922832
2014-02-15,0.04339821067473099
2014-02-16,0.05069289636125182
2014-02-17,0.0382322040151085
2014-02-18,0.031653990005810005
2014-02-19,0.02749149518132336
2014-02-20,0.05823347497346985
2014-02-21,0.044211140456255835
2014-02-22,0.04904769635787671
2014-02-23,0.034991188882198
2014-02-24,0.06831896563427062
2014-02-25,0.04388996938795428
2014-02-26,0.06793898741793275
2014-02-27,0.042187827276012786
2014-02-28,0.0566707310492355
2014-03-01,0.04812425584421772
2014-03-02,0.04076179027600809
2014-03-03,0.08807734616308167
2014-03-04,0.048244034411917
2014-03-05,0.0388236669969589
2014-03-06,0.03213299583875793
2014-03-07,0.04937353404410028
2014-03-08,0.03844612885585001
2014-03-09,0.04165327318132616
2014-03-10,0.03774856716292877
2014-03-11,0.03187542214790482
2014-03-12,0.026776864380343556
2014-03-13,0.02765237480513433
2014-03-14,0.03177986373724347
2014-03-15,0.02822581614963367
2014-03-16,0.023662310006892773
2014-03-17,0.027169869533098145
2014-03-18,0.02605843122555521
2014-03-19,0.02259008507833631
2014-03-20,0.03487990433278996
2014-03-21,0.03490415235120932
2014-03-22,0.027493874033809703
2014-03-23,0.025473728574424166
2014-03-24,0.03856472977845357
2014-03-25,0.02623923135965474
2014-03-26,0.023784137373142646
2014-03-27,0.06903992756731656
2014-03-28,0.046987544202956796
2014-03-29,0.03913918331512107
2014-03-30,0.054069058414597186
2014-03-31,0.03673768993856901
2014-04-01,0.048802186762678404
2014-04-02,0.06394072263911989
2014-04-03,0.04666098247183979
2014-04-04,0.03549159780257848
2014-04-05,0.03897113950531821
2014-04-06,0.0310861895990362
2014-04-07,0.03392675619251624
2014-04-08,0.028815350679065137
2014-04-09,0.032204352905683846
2014-04-10,0.07655943316389466
2014-04-11,0.0842343871809883
2014-04-12,0.048433274852481376
2014-04-13,0.04347651209594296
2014-04-14,0.07061360796166972
2014-04-15,0.08314981762233797
2014-04-16,0.05420543331894733
